persona_id,framework_name,framework_description,persona_description
47b7dee1,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:-1, C:1, E:-1, A:1, N:1"
23e99a6f,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:-1, C:1, E:1, A:-1, N:-1"
52f693e5,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:-1, C:1, E:1, A:-1, N:1"
60f5b98e,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:-1, C:1, E:1, A:1, N:-1"
6276f450,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:-1, C:1, E:1, A:1, N:1"
092b4079,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:-1, A:-1, N:-1"
3588f539,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:-1, A:-1, N:1"
aefc173f,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:-1, A:1, N:-1"
9b8e05bd,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:-1, A:1, N:1"
1e9289f5,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:1, A:-1, N:-1"
8c5292e2,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:1, A:-1, N:1"
0d62a476,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:1, A:1, N:-1"
6dde1f70,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:-1, E:1, A:1, N:1"
2b56ce66,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:-1, A:-1, N:-1"
b37323cc,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:-1, A:-1, N:1"
18a6108b,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:-1, A:1, N:-1"
6f2e0dcb,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:-1, A:1, N:1"
83514d8a,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:1, A:-1, N:-1"
f042072f,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:1, A:-1, N:1"
96566671,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:1, A:1, N:-1"
849b4bf6,Big Five,"
    The Big Five personality traits are a widely used model in psychology to describe human personality. These traits are believed to underlie individual differences in behavior and are often used in psychological assessments and research. The five main categories are:

    - Openness (O): Curiosity, imagination, and intellectual interests.
    - Conscientiousness (C): Orderliness, diligence, and self-discipline.
    - Extroversion (E): Sociability, talkativeness, and assertiveness.
    - Agreeableness (A): Friendliness, warmth, and cooperativeness.
    - Neuroticism (N): Anxiety, moodiness, and emotional instability.

    In this simplified version, we will use -1 and 1 to describe the level of each trait. For example, a person with Extroversion (E) of 1 is very extroverted, while a person with Extroversion (E) of -1 is very introverted.
    ","O:1, C:1, E:1, A:1, N:1"
